galaxy_name,h_gamma,h_beta,oiii_5007,oi_6300,nii_6583,sii_6716,sii_6731,h_gamma_outlier_flag,h_beta_outlier_flag,oiii_5007_outlier_flag,oi_6300_outlier_flag,nii_6583_outlier_flag,sii_6716_outlier_flag,sii_6731_outlier_flag
IC 10,0.03,0.08,0.35,0.006,0.04,0.03,0.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IC 239,NA,1.47,1.47,0.59,0.59,1,1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IC 342,0.03,0.13,0.01,0.007,0.45,0.1,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IC 356,NA,0.1,0.24,0.11,1.68,0.51,0.43,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IC 467,NA,0.17,0.07,0.058,0.44,0.28,0.2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IC 520,NA,0.53,1.3,0.097,1.66,0.36,0.39,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IC 1727,NA,0.19,0.45,0.16,0.93,0.62,0.47,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IC 2574,0.08,0.18,0.04,0.025,0.07,0.14,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 63,0.05,0.17,0.07,0.016,0.49,0.17,0.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 185,0.24,0.23,0.75,0.22,0.61,0.88,0.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 266,0.41,0.57,1.35,0.28,2.36,0.77,0.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 278,0.07,0.22,0.05,0.022,0.5,0.16,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 315,0.08,0.37,0.76,0.59,2.91,0.88,0.82,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
NGC 404,0.14,0.27,0.34,0.17,0.44,0.55,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 410,NA,1.01,0.77,0.097,1.78,0.46,0.34,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 428,NA,0.81,0.61,0.19,0.56,0.75,0.58,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 474,NA,0.26,0.62,0.21,0.47,0.51,0.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 488,NA,0.22,0.2,0.13,1.5,0.27,0.2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 514,0.11,0.2,0.08,0.052,0.37,0.13,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 520,0.09,0.24,0.18,0.014,0.39,0.16,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 521,NA,0.32,0.42,0.086,1.19,0.18,0.15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
