type,language,band,percent,year
Academic,Arabic,<4,0.02129344530663625,2024-2025
Academic,Arabic,4,0.03710248393978972,2024-2025
Academic,Arabic,4.5,0.08149190045329094,2024-2025
Academic,Arabic,5,0.13799074506373848,2024-2025
Academic,Arabic,5.5,0.17022936403340286,2024-2025
Academic,Arabic,6,0.15888822566442287,2024-2025
Academic,Arabic,6.5,0.13594591240315115,2024-2025
Academic,Arabic,7,0.11427423215351608,2024-2025
Academic,Arabic,7.5,0.08553428640659075,2024-2025
Academic,Arabic,8,0.04757486392406934,2024-2025
Academic,Arabic,8.5,0.00957407199465743,2024-2025
Academic,Arabic,9,1.0046865673405946e-4,2024-2025
Academic,Azeri,<4,5.400297016335898e-4,2024-2025
Academic,Azeri,4,0.00337518563520993,2024-2025
Academic,Azeri,4.5,0.00972053462940461,2024-2025
Academic,Azeri,5,0.03874713109221007,2024-2025
Academic,Azeri,5.5,0.10881598487916834,2024-2025
Academic,Azeri,6,0.18739030646685567,2024-2025
Academic,Azeri,6.5,0.2183070068853787,2024-2025
Academic,Azeri,7,0.20494127176994736,2024-2025
Academic,Azeri,7.5,0.14729310112056165,2024-2025
Academic,Azeri,8,0.07168894289185905,2024-2025
Academic,Azeri,8.5,0.00904549750236263,2024-2025
Academic,Azeri,9,1.3500742540839745e-4,2024-2025
Academic,Bengali,<4,0.0042768053959342,2024-2025
Academic,Bengali,4,0.01517606496222469,2024-2025
Academic,Bengali,4.5,0.04724268515552875,2024-2025
Academic,Bengali,5,0.11858243683704808,2024-2025
Academic,Bengali,5.5,0.21193737400380577,2024-2025
Academic,Bengali,6,0.22984531906475497,2024-2025
Academic,Bengali,6.5,0.16552367315409686,2024-2025
Academic,Bengali,7,0.10285999585507848,2024-2025
Academic,Bengali,7.5,0.06451005143470806,2024-2025
Academic,Bengali,8,0.03289560449912391,2024-2025
Academic,Bengali,8.5,0.0069804246660512,2024-2025
Academic,Bengali,9,1.6956497164496862e-4,2024-2025
Academic,Burmese,<4,8.868617762574434e-4,2024-2025
Academic,Burmese,4,0.00481439249968326,2024-2025
Academic,Burmese,4.5,0.01342962118332699,2024-2025
Academic,Burmese,5,0.0459901178259217,2024-2025
Academic,Burmese,5.5,0.12073989611047764,2024-2025
Academic,Burmese,6,0.2001773723552515,2024-2025
Academic,Burmese,6.5,0.20144431774990496,2024-2025
Academic,Burmese,7,0.17623210439630055,2024-2025
Academic,Burmese,7.5,0.1382237425566958,2024-2025
Academic,Burmese,8,0.08298492334980363,2024-2025
Academic,Burmese,8.5,0.01469656657798049,2024-2025
Academic,Burmese,9,3.800836183960472e-4,2024-2025
Academic,Chinese,<4,0.00501695083636544,2024-2025
Academic,Chinese,4,0.01378730115365032,2024-2025
Academic,Chinese,4.5,0.04442298856284227,2024-2025
Academic,Chinese,5,0.1184685467814108,2024-2025
Academic,Chinese,5.5,0.22392385990620123,2024-2025
Academic,Chinese,6,0.26022327914860854,2024-2025
Academic,Chinese,6.5,0.1790900360541599,2024-2025
Academic,Chinese,7,0.09508198078491271,2024-2025
Academic,Chinese,7.5,0.04394385320037585,2024-2025
Academic,Chinese,8,0.01387629821881687,2024-2025
Academic,Chinese,8.5,0.00213592956399716,2024-2025
Academic,Chinese,9,2.897578865887632e-5,2024-2025
Academic,English,<4,5.075319907132445e-4,2024-2025
Academic,English,4,0.00143620754818854,2024-2025
Academic,English,4.5,0.00524809675503482,2024-2025
Academic,English,5,0.01905944603423141,2024-2025
Academic,English,5.5,0.0575994816694563,2024-2025
Academic,English,6,0.119853139679283,2024-2025
Academic,English,6.5,0.16009934668754386,2024-2025
Academic,English,7,0.18105933804870147,2024-2025
Academic,English,7.5,0.19492468009286756,2024-2025
Academic,English,8,0.17672911829814805,2024-2025
Academic,English,8.5,0.0803088386156255,2024-2025
Academic,English,9,0.00317477458020625,2024-2025
Academic,Farsi,<4,8.612028132625232e-4,2024-2025
Academic,Farsi,4,0.00239223003684034,2024-2025
Academic,Farsi,4.5,0.01071719056504473,2024-2025
Academic,Farsi,5,0.03521362614228984,2024-2025
Academic,Farsi,5.5,0.10650208124013204,2024-2025
Academic,Farsi,6,0.20707143198890005,2024-2025
Academic,Farsi,6.5,0.2277402995072006,2024-2025
Academic,Farsi,7,0.18831634850007176,2024-2025
Academic,Farsi,7.5,0.13664417970432036,2024-2025
Academic,Farsi,8,0.07219750251184152,2024-2025
Academic,Farsi,8.5,0.01229606238935935,2024-2025
Academic,Farsi,9,4.784460073680685e-5,2024-2025
Academic,Filipino,<4,6.524221171097701e-4,2024-2025
Academic,Filipino,4,0.0026912412330778,2024-2025
Academic,Filipino,4.5,0.00774751264067852,2024-2025
Academic,Filipino,5,0.0249551459794487,2024-2025
Academic,Filipino,5.5,0.06369270918284131,2024-2025
Academic,Filipino,6,0.1472842929375306,2024-2025
Academic,Filipino,6.5,0.2109770021203719,2024-2025
Academic,Filipino,7,0.22353612787473495,2024-2025
Academic,Filipino,7.5,0.18479856467134237,2024-2025
Academic,Filipino,8,0.10870983526341545,2024-2025
Academic,Filipino,8.5,0.02446582939161637,2024-2025
Academic,Filipino,9,4.893165878323276e-4,2024-2025
Academic,French,<4,0.00192808940621987,2024-2025
Academic,French,4,0.00603420573428071,2024-2025
Academic,French,4.5,0.01638875995286892,2024-2025
Academic,French,5,0.04377477059306602,2024-2025
Academic,French,5.5,0.08987038954547077,2024-2025
Academic,French,6,0.1416074552790374,2024-2025
Academic,French,6.5,0.16813653729424785,2024-2025
Academic,French,7,0.18388260077837684,2024-2025
Academic,French,7.5,0.19034527082515088,2024-2025
Academic,French,8,0.1283964723104938,2024-2025
Academic,French,8.5,0.02909986789017031,2024-2025
Academic,French,9,5.355803906166315e-4,2024-2025
Academic,German,<4,0,2024-2025
Academic,German,4,2.2732439190725163e-4,2024-2025
Academic,German,4.5,6.81973175721755e-4,2024-2025
Academic,German,5,0.0039781768583769,2024-2025
Academic,German,5.5,0.01204819277108433,2024-2025
Academic,German,6,0.0312571038872471,2024-2025
Academic,German,6.5,0.07206183223459878,2024-2025
Academic,German,7,0.13412139122527847,2024-2025
Academic,German,7.5,0.2446010456922028,2024-2025
Academic,German,8,0.3561036599227097,2024-2025
Academic,German,8.5,0.14196408274607866,2024-2025
Academic,German,9,0.00295521709479427,2024-2025
Academic,Greek,<4,1.4190435646374344e-4,2024-2025
Academic,Greek,4,7.095217823187173e-4,2024-2025
Academic,Greek,4.5,0.00113523485170994,2024-2025
Academic,Greek,5,0.00553426990208599,2024-2025
Academic,Greek,5.5,0.03107705406555981,2024-2025
Academic,Greek,6,0.07549311763871151,2024-2025
Academic,Greek,6.5,0.14162054775081595,2024-2025
Academic,Greek,7,0.20107847310912447,2024-2025
Academic,Greek,7.5,0.2473392933163048,2024-2025
Academic,Greek,8,0.23641265786859655,2024-2025
Academic,Greek,8.5,0.05874840357598979,2024-2025
Academic,Greek,9,7.095217823187173e-4,2024-2025
Academic,Gujarati,<4,0.00128619598845899,2024-2025
Academic,Gujarati,4,0.00497097368512531,2024-2025
Academic,Gujarati,4.5,0.01974484652553273,2024-2025
Academic,Gujarati,5,0.07018458650537074,2024-2025
Academic,Gujarati,5.5,0.18079744151284455,2024-2025
Academic,Gujarati,6,0.2440643793235304,2024-2025
Academic,Gujarati,6.5,0.1992213299961762,2024-2025
Academic,Gujarati,7,0.13950012166718812,2024-2025
Academic,Gujarati,7.5,0.09083324642819898,2024-2025
Academic,Gujarati,8,0.04206208502798345,2024-2025
Academic,Gujarati,8.5,0.00719574512462196,2024-2025
Academic,Gujarati,9,1.3904821496854035e-4,2024-2025
Academic,Hindi,<4,6.681550771637631e-4,2024-2025
Academic,Hindi,4,0.00180890764793116,2024-2025
Academic,Hindi,4.5,0.0064859931880775,2024-2025
Academic,Hindi,5,0.02635138438472695,2024-2025
Academic,Hindi,5.5,0.08863647474862703,2024-2025
Academic,Hindi,6,0.17378550592376513,2024-2025
Academic,Hindi,6.5,0.1984420579176377,2024-2025
Academic,Hindi,7,0.1924938480843505,2024-2025
Academic,Hindi,7.5,0.1693854602936623,2024-2025
Academic,Hindi,8,0.1140426641461467,2024-2025
Academic,Hindi,8.5,0.02754102635138438,2024-2025
Academic,Hindi,9,3.585222365268973e-4,2024-2025
Academic,Indonesian,<4,0.00167542775764937,2024-2025
Academic,Indonesian,4,0.00356028398500492,2024-2025
Academic,Indonesian,4.5,0.01061802341410291,2024-2025
Academic,Indonesian,5,0.03530963999246057,2024-2025
Academic,Indonesian,5.5,0.09200192674192131,2024-2025
Academic,Indonesian,6,0.17124965967873673,2024-2025
Academic,Indonesian,6.5,0.2088839556849358,2024-2025
Academic,Indonesian,7,0.2011769879997487,2024-2025
Academic,Indonesian,7.5,0.16896688935893947,2024-2025
Academic,Indonesian,8,0.09080818446459613,2024-2025
Academic,Indonesian,8.5,0.01549770675825672,2024-2025
Academic,Indonesian,9,2.513141636474062e-4,2024-2025
Academic,Italian,<4,5.576830129754248e-4,2024-2025
Academic,Italian,4,0.00163587017139457,2024-2025
Academic,Italian,4.5,0.00594861880507119,2024-2025
Academic,Italian,5,0.02126631222812953,2024-2025
Academic,Italian,5.5,0.05387217905342603,2024-2025
Academic,Italian,6,0.1074469271665985,2024-2025
Academic,Italian,6.5,0.15737814626166488,2024-2025
Academic,Italian,7,0.2085734468528089,2024-2025
Academic,Italian,7.5,0.24512027363646505,2024-2025
Academic,Italian,8,0.1676395137004127,2024-2025
Academic,Italian,8.5,0.0303751347733948,2024-2025
Academic,Italian,9,1.8589433765847492e-4,2024-2025
Academic,Japanese,<4,0.00794077029307963,2024-2025
Academic,Japanese,4,0.02424428417983735,2024-2025
Academic,Japanese,4.5,0.06442765075955194,2024-2025
Academic,Japanese,5,0.15135415068282954,2024-2025
Academic,Japanese,5.5,0.2425195642166641,2024-2025
Academic,Japanese,6,0.2200207150529385,2024-2025
Academic,Japanese,6.5,0.14742212674543503,2024-2025
Academic,Japanese,7,0.08571812183520025,2024-2025
Academic,Japanese,7.5,0.03956958723338959,2024-2025
Academic,Japanese,8,0.01398266073346631,2024-2025
Academic,Japanese,8.5,0.00274282645388982,2024-2025
Academic,Japanese,9,5.754181371796839e-5,2024-2025
Academic,Kannada,<4,0,2024-2025
Academic,Kannada,4,2.8776978417266187e-4,2024-2025
Academic,Kannada,4.5,0.00330935251798561,2024-2025
Academic,Kannada,5,0.02258992805755395,2024-2025
Academic,Kannada,5.5,0.09568345323741008,2024-2025
Academic,Kannada,6,0.19971223021582735,2024-2025
Academic,Kannada,6.5,0.21784172661870504,2024-2025
Academic,Kannada,7,0.19122302158273383,2024-2025
Academic,Kannada,7.5,0.15697841726618705,2024-2025
Academic,Kannada,8,0.09093525179856116,2024-2025
Academic,Kannada,8.5,0.02115107913669064,2024-2025
Academic,Kannada,9,2.8776978417266187e-4,2024-2025
Academic,Kazakh,<4,0.00516645442968892,2024-2025
Academic,Kazakh,4,0.01193378206294342,2024-2025
Academic,Kazakh,4.5,0.03947607786065126,2024-2025
Academic,Kazakh,5,0.09226851009641622,2024-2025
Academic,Kazakh,5.5,0.1690376569037657,2024-2025
Academic,Kazakh,6,0.2082226669092232,2024-2025
Academic,Kazakh,6.5,0.18555575768601057,2024-2025
Academic,Kazakh,7,0.14538839366927414,2024-2025
Academic,Kazakh,7.5,0.09830816809168635,2024-2025
Academic,Kazakh,8,0.04009459705293796,2024-2025
Academic,Kazakh,8.5,0.00443878479170456,2024-2025
Academic,Kazakh,9,1.0915044569765326e-4,2024-2025
Academic,Khmer,<4,0.00374039627982207,2024-2025
Academic,Khmer,4,0.01142337242215932,2024-2025
Academic,Khmer,4.5,0.04902951880307319,2024-2025
Academic,Khmer,5,0.13768701981399112,2024-2025
Academic,Khmer,5.5,0.20551961180752124,2024-2025
Academic,Khmer,6,0.213303679741205,2024-2025
Academic,Khmer,6.5,0.16265669227658716,2024-2025
Academic,Khmer,7,0.10735948241002832,2024-2025
Academic,Khmer,7.5,0.0736959158916296,2024-2025
Academic,Khmer,8,0.03123736352608168,2024-2025
Academic,Khmer,8.5,0.00434694702790133,2024-2025
Academic,Khmer,9,0,2024-2025
Academic,Korean,<4,0.00222560618484245,2024-2025
Academic,Korean,4,0.00573972121354105,2024-2025
Academic,Korean,4.5,0.02143610167506149,2024-2025
Academic,Korean,5,0.07063371207684198,2024-2025
Academic,Korean,5.5,0.1677794697590879,2024-2025
Academic,Korean,6,0.23482097536214908,2024-2025
Academic,Korean,6.5,0.21049549021904648,2024-2025
Academic,Korean,7,0.1534106438639647,2024-2025
Academic,Korean,7.5,0.08761860138221858,2024-2025
Academic,Korean,8,0.03697629924641755,2024-2025
Academic,Korean,8.5,0.00862910468158213,2024-2025
Academic,Korean,9,2.3427433524657375e-4,2024-2025
Academic,Malayalam,<4,3.181673560292714e-4,2024-2025
Academic,Malayalam,4,0.00109912359355566,2024-2025
Academic,Malayalam,4.5,0.00679721169698898,2024-2025
Academic,Malayalam,5,0.02970526133109652,2024-2025
Academic,Malayalam,5.5,0.10129291643768258,2024-2025
Academic,Malayalam,6,0.19769762531455184,2024-2025
Academic,Malayalam,6.5,0.22370057559367135,2024-2025
Academic,Malayalam,7,0.18893356087120008,2024-2025
Academic,Malayalam,7.5,0.1475718045873948,2024-2025
Academic,Malayalam,8,0.08338877158476268,2024-2025
Academic,Malayalam,8.5,0.01929251149741127,2024-2025
Academic,Malayalam,9,2.024701356549909e-4,2024-2025
Academic,Marathi,<4,3.496259002866932e-4,2024-2025
Academic,Marathi,4,0.00104887770086007,2024-2025
Academic,Marathi,4.5,0.00391581008321096,2024-2025
Academic,Marathi,5,0.02104747919725893,2024-2025
Academic,Marathi,5.5,0.08488916858960911,2024-2025
Academic,Marathi,6,0.17781973288581215,2024-2025
Academic,Marathi,6.5,0.22390042654359835,2024-2025
Academic,Marathi,7,0.1989371372631284,2024-2025
Academic,Marathi,7.5,0.16670162925669532,2024-2025
Academic,Marathi,8,0.10383889238514787,2024-2025
Academic,Marathi,8.5,0.01734144465421998,2024-2025
Academic,Marathi,9,2.097755401720159e-4,2024-2025
Academic,Mongolian,<4,0.0044801838024124,2024-2025
Academic,Mongolian,4,0.0109132682366456,2024-2025
Academic,Mongolian,4.5,0.03262492820218265,2024-2025
Academic,Mongolian,5,0.07800114876507754,2024-2025
Academic,Mongolian,5.5,0.14865020103388857,2024-2025
Academic,Mongolian,6,0.18184951177484204,2024-2025
Academic,Mongolian,6.5,0.19058012636415853,2024-2025
Academic,Mongolian,7,0.16932797242963815,2024-2025
Academic,Mongolian,7.5,0.1228029867892016,2024-2025
Academic,Mongolian,8,0.05307294658242389,2024-2025
Academic,Mongolian,8.5,0.00758184951177484,2024-2025
Academic,Mongolian,9,1.1487650775416428e-4,2024-2025
Academic,Nepali,<4,0.00137134375554587,2024-2025
Academic,Nepali,4,0.00451736766532759,2024-2025
Academic,Nepali,4.5,0.01819853830889115,2024-2025
Academic,Nepali,5,0.07405256279947728,2024-2025
Academic,Nepali,5.5,0.18879370149879804,2024-2025
Academic,Nepali,6,0.2571188874368779,2024-2025
Academic,Nepali,6.5,0.21288095122856265,2024-2025
Academic,Nepali,7,0.13782811416033428,2024-2025
Academic,Nepali,7.5,0.07352015875320653,2024-2025
Academic,Nepali,8,0.02873368504267299,2024-2025
Academic,Nepali,8.5,0.00292015552651533,2024-2025
Academic,Nepali,9,6.453382379039414e-5,2024-2025
Academic,Other,<4,0.00657583338968152,2024-2025
Academic,Other,4,0.01382784501994725,2024-2025
Academic,Other,4.5,0.03500912840624789,2024-2025
Academic,Other,5,0.07121847318953275,2024-2025
Academic,Other,5.5,0.13488065454053688,2024-2025
Academic,Other,6,0.1910879707891,2024-2025
Academic,Other,6.5,0.18403881263100952,2024-2025
Academic,Other,7,0.15949354249780243,2024-2025
Academic,Other,7.5,0.12069781594428292,2024-2025
Academic,Other,8,0.06599499628101968,2024-2025
Academic,Other,8.5,0.01673541145445939,2024-2025
Academic,Other,9,4.395158563797418e-4,2024-2025
