writer,song_count,song_count_outlier_flag
Ashley Gorley,44,TRUE
Shane McAnally,36,TRUE
Ross Copperman,32,TRUE
Josh Osborne,28,TRUE
Rhett Akins,23,TRUE
Jesse Frasure,18,TRUE
Hillary Lindsey,18,TRUE
Jon Nite,17,TRUE
Zach Crowell,16,TRUE
Rodney Clawson,14,TRUE
Luke Laird,14,TRUE
Eric Church,13,TRUE
Ben Hayslip,13,TRUE
Chris DeStefano,13,TRUE
Matthew Ramsey,13,TRUE
Trevor Rosen,13,TRUE
Tyler Hubbard,12,TRUE
Thomas Rhett,12,TRUE
Nicolle Galyon,12,TRUE
Sam Hunt,11,TRUE
Jimmy Robbins,11,TRUE
Cole Swindell,10,TRUE
Josh Kear,10,TRUE
Brad Tursi,10,TRUE
Jordan Schmidt,10,TRUE
Brett James,9,TRUE
Brad Paisley,9,TRUE
Dallas Davidson,9,TRUE
Luke Bryan,9,TRUE
Jaren Johnston,8,TRUE
busbee,8,TRUE
Kelsea Ballerini,8,TRUE
Brian Kelley,8,TRUE
Luke Combs,8,TRUE
Hardy,8,TRUE
Shay Mooney,8,TRUE
Laura Veltz,8,TRUE
Brett Eldredge,7,TRUE
Dan Smyers,7,TRUE
Brantley Gilbert,7,TRUE
Ryan Hurd,7,TRUE
Tom Douglas,7,TRUE
Zac Brown,7,TRUE
Jonathan Singleton,7,TRUE
Barry Dean,7,TRUE
Carrie Underwood,7,TRUE
Chris DuBois,7,TRUE
Cam,7,TRUE
Maren Morris,7,TRUE
Chris Janson,7,TRUE
Kelley Lovelace,7,TRUE
Brad Warren,7,TRUE
Lee Thomas Miller,7,TRUE
Niko Moon,7,TRUE
Jeff Hyde,7,TRUE
Brett Warren,7,TRUE
Michael Carter,6,FALSE
Justin Wilson,6,FALSE
Jaron Boyer,6,FALSE
Chris Stapleton,6,FALSE
David Garcia,6,FALSE
Charles Kelley,6,FALSE
Matt Jenkins,6,FALSE
Cary Barlowe,5,FALSE
Frank Rogers,5,FALSE
John Osborne,5,FALSE
Andrew Dorff,5,FALSE
Lori McKenna,5,FALSE
Corey Crowder,5,FALSE
Jeremy Stover,5,FALSE
Brett Young,5,FALSE
Miranda Lambert,5,FALSE
Chris Young,5,FALSE
Matt Dragstrem,5,FALSE
Bobby Pinson,5,FALSE
Chris Tompkins,5,FALSE
Troy Verges,5,FALSE
Craig Wiseman,5,FALSE
Andy Albert,5,FALSE
Chase McGill,5,FALSE
Liz Rose,5,FALSE
Wyatt Durrette,5,FALSE
Kip Moore,4,FALSE
Natalie Hemby,4,FALSE
Dierks Bentley,4,FALSE
Dave Haywood,4,FALSE
John Rich,4,FALSE
Keith Urban,4,FALSE
Hillary Scott,4,FALSE
Brett Beavers,4,FALSE
Jerry Flowers,4,FALSE
Kelly Archer,4,FALSE
Shy Carter,4,FALSE
Mark Wystrach,4,FALSE
Jessi Alexander,4,FALSE
Kane Brown,4,FALSE
Jess Carson,4,FALSE
Scotty McCreery,4,FALSE
David Lee Murphy,4,FALSE
Josh Kerr,4,FALSE
Scooter Carusoe,4,FALSE
Josh Hoge,4,FALSE
Forest Glen Whitehead,4,FALSE
Justin Ebach,4,FALSE
Cameron Duddy,4,FALSE
Gordie Sampson,4,FALSE
Tommy Lee,4,FALSE
Joe Spargur,4,FALSE
Josh Miller,4,FALSE
Jordan Reynolds,4,FALSE
Brent Anderson,3,FALSE
Jim Beavers,3,FALSE
Hunter Hayes,3,FALSE
Mark Irwin,3,FALSE
Marv Green,3,FALSE
Derek George,3,FALSE
Marc Beeson,3,FALSE
Lee Brice,3,FALSE
Taylor Dye,3,FALSE
Travis Meadows,3,FALSE
Kenny Chesney,3,FALSE
Connie Harrington,3,FALSE
Jody Stevens,3,FALSE
Naomi Cook,3,FALSE
Sarah Buxton,3,FALSE
Jon Pardi,3,FALSE
Deric Ruttan,3,FALSE
J.T. Harding,3,FALSE
Mitch Rossell,3,FALSE
Russell Dickerson,3,FALSE
Devin Dawson,3,FALSE
Jordan Davis,3,FALSE
Morgan Evans,3,FALSE
Garth Brooks,3,FALSE
Justin Weaver,3,FALSE
Jason Sellers,3,FALSE
Neil Mason,3,FALSE
Maddie Marlow,3,FALSE
Jennifer Wayne,3,FALSE
Casey Beathard,3,FALSE
Adam Sanders,3,FALSE
Sean Douglas,3,FALSE
Cole Taylor,3,FALSE
Luke Dick,3,FALSE
Josh Thompson,3,FALSE
Matt McGinn,3,FALSE
Parker Welling,3,FALSE
Jessie Jo DIllon,3,FALSE
Josh Mirenda,3,FALSE
Ben Stennis,3,FALSE
Casey Brown,3,FALSE
Brock Berryhill,3,FALSE
Chase Rice,3,FALSE
Taylor Phillips,3,FALSE
Rob Hatch,2,FALSE
Justin Moore,2,FALSE
Eric Paslay,2,FALSE
Tommy Lee James,2,FALSE
Aaron Eshuis,2,FALSE
Karen Fairchild,2,FALSE
Darius Rucker,2,FALSE
Kristian Bush,2,FALSE
RaeLynn,2,FALSE
Brandy Clark,2,FALSE
Michael Hobby,2,FALSE
Tony Martin,2,FALSE
Canaan Smith,2,FALSE
Chase Bryant,2,FALSE
Granger Smith,2,FALSE
Lance Miller,2,FALSE
Michael Tyler,2,FALSE
Jennifer Nettles,2,FALSE
Steven Lee Olsen,2,FALSE
Lauren Alaina,2,FALSE
Taylor Swift,2,FALSE
Adam Hambrick,2,FALSE
Aimee Mayo,2,FALSE
Carly Pearce,2,FALSE
Kurt Allison,2,FALSE
Brandon Lancaster,2,FALSE
Clint Daniels,2,FALSE
David Frasier,2,FALSE
Tommy Cecil,2,FALSE
Lindsay Rimes,2,FALSE
Brandon Kinney,2,FALSE
Bryan Kennedy,2,FALSE
Mitchell Tenpenny,2,FALSE
Jimmie Allen,2,FALSE
Riley Green,2,FALSE
Dustin Lynch,2,FALSE
Ben Goldsmith,2,FALSE
Chris Lucas,2,FALSE
Naomi Cooke,2,FALSE
Erik Dylan,2,FALSE
Dan Couch,2,FALSE
Shane Minor,2,FALSE
Miller Crowell,2,FALSE
Wade Kirby,2,FALSE
Phillip LaRue,2,FALSE
Bryan Simpson,2,FALSE
Trent Tomlinson,2,FALSE
T. J. Osborne,2,FALSE
Brice Long,2,FALSE
Bart Butler,2,FALSE
Matt Rogers,2,FALSE
T.J. Osborne,2,FALSE
Jamie Paulin,2,FALSE
Jamie Moore,2,FALSE
Brad Rempel,2,FALSE
Paul DiGiovanni,2,FALSE
Thomas Archer,2,FALSE
Julian Bunetta,2,FALSE
Monty Criswell,2,FALSE
Ray Fulcher,2,FALSE
Jacob Durrett,2,FALSE
Jesse Lee,2,FALSE
Jimmy Yeary,2,FALSE
Abe Stoklasa,2,FALSE
Fred Wilhelm,2,FALSE
Ed Hill,2,FALSE
Emily Shackelton,2,FALSE
James Abrahart,2,FALSE
David Hodges,2,FALSE
Kyle Jacobs,2,FALSE
Hunter Phelps,2,FALSE
Randy Montana,2,FALSE
Sam Ellis,2,FALSE
Heather Morgan,2,FALSE
Jeffrey Steele,2,FALSE
Aaron Scherz,2,FALSE
Whit Sellers,2,FALSE
Meghan Trainor,2,FALSE
Ben Simonetti,2,FALSE
Chris Stevens,2,FALSE
Ed Sheeran,2,FALSE
Morgan Wallen,2,FALSE
Robert Williford,2,FALSE
Preston Brust,2,FALSE
Jameson Rodgers,2,FALSE
Travis Denning,2,FALSE
Michael Hardy,2,FALSE
Geoff Sprung,2,FALSE
