writer,song_count,song_count_outlier_flag
Ashley Gorley,44,TRUE
Shane McAnally,36,TRUE
Ross Copperman,32,TRUE
Josh Osborne,28,TRUE
Rhett Akins,23,TRUE
Hillary Lindsey,18,FALSE
Jesse Frasure,18,FALSE
Jon Nite,17,FALSE
Zach Crowell,16,FALSE
Rodney Clawson,14,FALSE
Luke Laird,14,FALSE
Ben Hayslip,13,FALSE
Eric Church,13,FALSE
Matthew Ramsey,13,FALSE
Chris DeStefano,13,FALSE
Thomas Rhett,12,FALSE
Trevor Rosen,13,FALSE
Tyler Hubbard,12,FALSE
Nicolle Galyon,12,FALSE
Jimmy Robbins,11,FALSE
Sam Hunt,11,FALSE
Cole Swindell,10,FALSE
Josh Kear,10,FALSE
Brad Paisley,9,FALSE
Luke Bryan,9,FALSE
Dallas Davidson,9,FALSE
Cole Swindell,9,FALSE
Brett James,9,FALSE
Brian Kelley,8,FALSE
Jaren Johnston,8,FALSE
Shay Mooney,8,FALSE
busbee,8,FALSE
Kelsea Ballerini,8,FALSE
Chris Dubois,7,FALSE
Brantley Gilbert,7,FALSE
Brad Warren,7,FALSE
Brett Warren,7,FALSE
Kelley Lovelace,7,FALSE
Tom Douglas,7,FALSE
Zac Brown,7,FALSE
Jeff Hyde,7,FALSE
Ryan Hurd,7,FALSE
Barry Dean,7,FALSE
Dan Smyers,7,FALSE
Lee Thomas Miller,7,FALSE
Jonathan Singleton,7,FALSE
Niko Moon,7,FALSE
Chris DuBois,7,FALSE
Chris Janson,7,FALSE
Brett Eldredge,7,FALSE
Matt Jenkins,6,FALSE
Michael Carter,6,FALSE
Justin Wilson,6,FALSE
Charles Kelley,6,FALSE
Chris Tompkins,5,FALSE
Maren Morris,7,FALSE
Jordan Schmidt,10,FALSE
Brad Tursi,10,FALSE
Laura Veltz,8,FALSE
Luke Combs,8,FALSE
