producer,song_count,song_count_outlier_flag
Dann Huff,59,TRUE
Scott Hendricks,31,TRUE
Jay Joyce,28,TRUE
Joey Moi,28,TRUE
Ross Copperman,24,TRUE
Shane McAnally,21,TRUE
Michael Knox,14,FALSE
Jeff Stevens,14,FALSE
Zach Crowell,14,FALSE
Byron Gallimore,13,FALSE
busbee,13,FALSE
Kenny Chesney,12,FALSE
Buddy Cannon,12,FALSE
Keith Urban,12,FALSE
Jody Stevens,11,FALSE
Frank Rogers,11,FALSE
Jesse Frasure,11,FALSE
Tim McGraw,10,FALSE
Michael Carter,10,FALSE
Jeremy Stover,9,FALSE
Brad Paisley,9,FALSE
Dave Cobb,8,FALSE
Frank Liddell,8,FALSE
Forest Glen Whitehead,8,FALSE
Corey Crowder,8,FALSE
Glenn Worf,8,FALSE
Thomas Rhett,8,FALSE
Mickey Jack Cones,7,FALSE
Luke Wooten,7,FALSE
Jason Massey,7,FALSE
Dan Smyers,7,FALSE
Bart Butler,6,FALSE
Chris DeStefano,6,FALSE
Chris Young,6,FALSE
Marshall Altman,6,FALSE
Lindsay Rimes,6,FALSE
Brett Eldredge,6,FALSE
Jon Pardi,6,FALSE
Lee Brice,5,FALSE
Mark Bright,5,FALSE
Mark Miller,5,FALSE
Chuck Ainlay,5,FALSE
Julian Raymond,5,FALSE
Nathan Chapman,5,FALSE
Derek George,5,FALSE
Chris Stapleton,5,FALSE
Big Kenny,4,FALSE
John Rich,4,FALSE
Kristian Bush,4,FALSE
Jimmy Robbins,4,FALSE
Maren Morris,4,FALSE
Hunter Hayes,3,FALSE
Kyle Jacobs,3,FALSE
Tony Brown,3,FALSE
Julian King,3,FALSE
Jon Stone,3,FALSE
Jim Catino,3,FALSE
Rascal Flatts,3,FALSE
In The Arena,3,FALSE
Granger Smith,3,FALSE
Eric Masse,3,FALSE
Julian Bunetta,3,FALSE
Luke Laird,2,FALSE
Brent Anderson,2,FALSE
New Voice Entertainment,2,FALSE
Jerrod Niemann,2,FALSE
Brett James,2,FALSE
Jimmie Lee Sloas,2,FALSE
James Stroud,2,FALSE
Justin Niebank,2,FALSE
Brett Beavers,2,FALSE
George Strait,2,FALSE
Jimmy Ritchey,2,FALSE
Seth Mosley,2,FALSE
Lady Antebellum,2,FALSE
Joe London,2,FALSE
Chris DuBois,2,FALSE
Chris Janson,2,FALSE
Sara Evans,1,FALSE
Zac Brown,1,FALSE
Tom Tapley,1,FALSE
Jeff Bhasker,1,FALSE
Howard Benson,1,FALSE
John Osborne,1,FALSE
Greg Wells,1,FALSE
Angelo Petraglia,1,FALSE
Sheryl Crow,1,FALSE
Hillary Scott,1,FALSE
Tyler Johnson,1,FALSE
Matt Serletic,1,FALSE
Frank Lidell,1,FALSE
RedOne,1,FALSE
Matt Rovey,1,FALSE
Dave Grohl,1,FALSE
Toby Keith,1,FALSE
Carson Chamberlain,1,FALSE
Jim Catino. Julian King,1,FALSE
Kenny Greenberg,1,FALSE
Nicolle Galyon,1,FALSE
Ricky Reed,1,FALSE
Keith Stegall,1,FALSE
Aaron Scherz,1,FALSE
T. J. Osborne,1,FALSE
Eli Young Band,1,FALSE
Danny Orton,1,FALSE
Brad Hill,1,FALSE
Matt McClure,1,FALSE
Charles Kelley,1,FALSE
Lee Bruce,1,FALSE
Dave Haywood,1,FALSE
