country,city,urban,suburban,rural,hourly_wage_gbp,price_gbp,original_currency,price,hourly_wage,hourly_wage_gbp_outlier_flag,price_gbp_outlier_flag,price_outlier_flag,hourly_wage_outlier_flag
Denmark,Copenhagen,TRUE,FALSE,FALSE,16.04,10.31,DKK - Danish Krone,90,140,FALSE,TRUE,TRUE,TRUE
China,Shenzhen,TRUE,FALSE,FALSE,3.29,9.44,CNY - Yuan Renminbi,86,30,FALSE,TRUE,TRUE,FALSE
USA,West Richland,FALSE,TRUE,FALSE,13.25,8.89,USD - US dollar,12,17.88,FALSE,TRUE,TRUE,FALSE
Switzerland,St. Moritz,FALSE,FALSE,TRUE,24.5,8.26,CHF - Swiss Franc,9,26.7,TRUE,TRUE,FALSE,FALSE
Denmark,Copenhagen,TRUE,FALSE,FALSE,16.04,7.45,DKK - Danish Krone,65,140,FALSE,TRUE,TRUE,TRUE
Singapore,Singapore,TRUE,FALSE,FALSE,11.19,6.89,SGD - Singapore Dollar,11.9,19.31,FALSE,TRUE,TRUE,FALSE
France,Paris,TRUE,FALSE,FALSE,12.85,6.85,EUR - Euro,8,15,FALSE,TRUE,FALSE,FALSE
Switzerland,Bern,FALSE,TRUE,FALSE,21.1,6.24,CHF - Swiss Franc,6.8,23,FALSE,TRUE,FALSE,FALSE
Saudi Arabia,Jeddah,TRUE,FALSE,FALSE,4.16,6.33,SAR - Saudi Riyal,32,21,FALSE,TRUE,TRUE,FALSE
Denmark,Copenhagen,TRUE,FALSE,FALSE,21.71,6.3,DKK - Danish Krone,55,189.5,TRUE,TRUE,TRUE,TRUE
Denmark,Copenhagen,TRUE,FALSE,FALSE,16.04,6.19,DKK - Danish Krone,54,140,FALSE,TRUE,TRUE,TRUE
Switzerland,Geneva,TRUE,FALSE,FALSE,24.77,5.96,CHF - Swiss Franc,6.5,27,TRUE,TRUE,FALSE,FALSE
Switzerland,Geneva,TRUE,FALSE,FALSE,22.53,5.96,CHF - Swiss Franc,6.5,24.55,TRUE,TRUE,FALSE,FALSE
France,Paris,TRUE,FALSE,FALSE,11.99,6,EUR - Euro,7,14,FALSE,TRUE,FALSE,FALSE
Denmark,Aalborg,TRUE,FALSE,FALSE,18.33,5.96,DKK - Danish Krone,52,160,FALSE,TRUE,TRUE,TRUE
Denmark,Copenhagen,TRUE,FALSE,FALSE,15.47,5.96,DKK - Danish Krone,52,135,FALSE,TRUE,TRUE,TRUE
UK,Cambridge,TRUE,FALSE,FALSE,13,6,GBP - Pound Sterling,6,13,FALSE,TRUE,FALSE,FALSE
USA,Holland,FALSE,TRUE,FALSE,9.72,5.93,USD - US dollar,8,13.12,FALSE,TRUE,FALSE,FALSE
UK,Montclair,FALSE,TRUE,FALSE,15,5.8,GBP - Pound Sterling,5.8,15,FALSE,TRUE,FALSE,FALSE
Denmark,Copenhagen,TRUE,FALSE,FALSE,14.32,5.73,DKK - Danish Krone,50,125,FALSE,TRUE,TRUE,TRUE
Denmark,Copenhagen,TRUE,FALSE,FALSE,16.04,5.73,DKK - Danish Krone,50,140,FALSE,TRUE,TRUE,TRUE
Denmark,Copenhagen,TRUE,FALSE,FALSE,16.61,5.73,DKK - Danish Krone,50,145,FALSE,TRUE,TRUE,TRUE
Denmark,Copenhagen,TRUE,FALSE,FALSE,18.9,5.73,DKK - Danish Krone,50,165,FALSE,TRUE,TRUE,TRUE
UK,London,TRUE,FALSE,FALSE,13,5.68,GBP - Pound Sterling,5.68,13,FALSE,TRUE,FALSE,FALSE
Switzerland,Zürich,TRUE,FALSE,FALSE,25.69,5.51,CHF - Swiss Franc,6,28,TRUE,TRUE,FALSE,FALSE
Switzerland,Zürich,TRUE,FALSE,FALSE,24.77,5.51,CHF - Swiss Franc,6,27,TRUE,TRUE,FALSE,FALSE
Denmark,Copenhagen,FALSE,TRUE,FALSE,24.98,5.61,DKK - Danish Krone,49,218,TRUE,TRUE,TRUE,TRUE
Switzerland,Zürich,TRUE,FALSE,FALSE,18.35,5.41,CHF - Swiss Franc,5.9,20,FALSE,TRUE,FALSE,FALSE
Denmark,Copenhagen,TRUE,FALSE,FALSE,16.04,5.5,DKK - Danish Krone,48,140,FALSE,TRUE,TRUE,TRUE
Denmark,Copenhagen,TRUE,FALSE,FALSE,17.19,5.5,DKK - Danish Krone,48,150,FALSE,TRUE,TRUE,TRUE
Denmark,Vedbæk,FALSE,TRUE,FALSE,17.76,5.5,DKK - Danish Krone,48,155,FALSE,TRUE,TRUE,TRUE
UK,Newcastle,TRUE,FALSE,FALSE,12.21,5.5,GBP - Pound Sterling,5.5,12.21,FALSE,TRUE,FALSE,FALSE
Switzerland,Olten,TRUE,FALSE,FALSE,18.99,5.32,CHF - Swiss Franc,5.8,20.7,FALSE,FALSE,FALSE,FALSE
USA,NA,FALSE,TRUE,FALSE,11.85,5.43,USD - US dollar,7.33,16,FALSE,TRUE,FALSE,FALSE
Switzerland,Zürich,TRUE,FALSE,FALSE,22.94,5.23,CHF - Swiss Franc,5.7,25,TRUE,FALSE,FALSE,FALSE
Denmark,Copenhagen,TRUE,FALSE,FALSE,16.61,5.27,DKK - Danish Krone,46,145,FALSE,FALSE,TRUE,TRUE
Denmark,Copenhagen,TRUE,FALSE,FALSE,18.9,5.27,DKK - Danish Krone,46,165,FALSE,FALSE,TRUE,TRUE
Switzerland,Bern,TRUE,FALSE,FALSE,23.86,5.14,CHF - Swiss Franc,5.6,26,TRUE,FALSE,FALSE,FALSE
Switzerland,Zürich,TRUE,FALSE,FALSE,21.8,5.14,CHF - Swiss Franc,5.6,23.76,TRUE,FALSE,FALSE,FALSE
Iceland,Reykjavik,TRUE,FALSE,FALSE,16.99,5.29,ISK - Iceland Krona,880,2828,FALSE,FALSE,TRUE,TRUE
USA,Waikiki,TRUE,FALSE,FALSE,13.34,5.19,USD - US dollar,7,18,FALSE,FALSE,FALSE,FALSE
USA,"Catskill, NY",FALSE,FALSE,TRUE,20,5.19,USD - US dollar,7,27,FALSE,FALSE,FALSE,FALSE
USA,Los Angeles,TRUE,FALSE,FALSE,12.97,5.19,USD - US dollar,7,17.5,FALSE,FALSE,FALSE,FALSE
USA,Seattle,TRUE,FALSE,FALSE,15.56,5.19,USD - US dollar,7,21,FALSE,FALSE,FALSE,FALSE
USA,New York City,TRUE,FALSE,FALSE,14.82,5.19,USD - US dollar,7,20,FALSE,FALSE,FALSE,FALSE
USA,New York City,TRUE,FALSE,FALSE,22.23,5.19,USD - US dollar,7,30,TRUE,FALSE,FALSE,FALSE
USA,Dallas,TRUE,FALSE,FALSE,9.63,5.19,USD - US dollar,7,13,FALSE,FALSE,FALSE,FALSE
USA,Austin,TRUE,FALSE,FALSE,8.89,5.19,USD - US dollar,7,12,FALSE,FALSE,FALSE,FALSE
USA,New York City,TRUE,FALSE,FALSE,14.45,5.19,USD - US dollar,7,19.5,FALSE,FALSE,FALSE,FALSE
USA,San Francisco,TRUE,FALSE,FALSE,18.52,5.19,USD - US dollar,7,25,FALSE,FALSE,FALSE,FALSE
USA,Prescott,TRUE,FALSE,FALSE,18.52,5.19,USD - US dollar,7,25,FALSE,FALSE,FALSE,FALSE
Denmark,Aarhus,TRUE,FALSE,FALSE,9.51,5.16,DKK - Danish Krone,45,83,FALSE,FALSE,TRUE,TRUE
Denmark,Copenhagen,TRUE,FALSE,FALSE,10.31,5.16,DKK - Danish Krone,45,90,FALSE,FALSE,TRUE,TRUE
Denmark,Copenhagen,TRUE,FALSE,FALSE,16.61,5.16,DKK - Danish Krone,45,145,FALSE,FALSE,TRUE,TRUE
Denmark,Copenhagen,TRUE,FALSE,FALSE,17.19,5.16,DKK - Danish Krone,45,150,FALSE,FALSE,TRUE,TRUE
Denmark,Svendborg,FALSE,TRUE,FALSE,14.89,5.16,DKK - Danish Krone,45,130,FALSE,FALSE,TRUE,TRUE
Denmark,Copenhagen,FALSE,TRUE,FALSE,17.19,5.16,DKK - Danish Krone,45,150,FALSE,FALSE,TRUE,TRUE
Switzerland,Aarau,TRUE,TRUE,FALSE,22.94,5.05,CHF - Swiss Franc,5.5,25,TRUE,FALSE,FALSE,FALSE
Switzerland,Zürich,TRUE,FALSE,FALSE,19.27,5.05,CHF - Swiss Franc,5.5,21,FALSE,FALSE,FALSE,FALSE
Switzerland,St.Gallen,TRUE,FALSE,FALSE,24.68,5.05,CHF - Swiss Franc,5.5,26.9,TRUE,FALSE,FALSE,FALSE
Finland,Helsinki,TRUE,FALSE,FALSE,13.4,5.14,EUR - Euro,6,15.64,FALSE,FALSE,FALSE,FALSE
Germany,Stuttgart,TRUE,FALSE,FALSE,42.83,5.14,EUR - Euro,6,50,TRUE,FALSE,FALSE,TRUE
France,Toulouse,FALSE,TRUE,FALSE,11.14,5.14,EUR - Euro,6,13,FALSE,FALSE,FALSE,FALSE
USA,"Saint Paul, MN",TRUE,FALSE,FALSE,12.13,5.09,USD - US dollar,6.87,16.37,FALSE,FALSE,FALSE,FALSE
Qatar,Doha,TRUE,FALSE,FALSE,1.63,5.08,QAR - Qatari Rial,25,8,FALSE,FALSE,TRUE,FALSE
Switzerland,Lausanne,TRUE,FALSE,FALSE,21.1,4.95,CHF - Swiss Franc,5.4,23,FALSE,FALSE,FALSE,FALSE
Iceland,Akureyri,TRUE,FALSE,FALSE,11.41,5.11,ISK - Iceland Krona,850,1900,FALSE,FALSE,TRUE,TRUE
Russia,Moscow,TRUE,FALSE,FALSE,2.69,4.93,RUB - Russian Ruble,550,300,FALSE,FALSE,TRUE,TRUE
