country,index,n,minutes,seconds,index_as_time,index_outlier_flag,n_outlier_flag,minutes_outlier_flag,seconds_outlier_flag
Australia,10.075824344431634,171,10,4,10:04,FALSE,TRUE,FALSE,FALSE
Italy,11.866254474454932,15,11,51,11:51,FALSE,FALSE,FALSE,FALSE
New Zealand,12.748509668976885,35,12,44,12:44,FALSE,FALSE,FALSE,FALSE
Switzerland,14.400591643042029,18,14,24,14:24,FALSE,FALSE,FALSE,FALSE
Netherlands,14.864245992803408,73,14,51,14:51,FALSE,TRUE,FALSE,FALSE
Puerto Rico,14.884318766066835,1,14,53,14:53,FALSE,FALSE,FALSE,FALSE
Slovenia,14.949664429530202,4,14,56,14:56,FALSE,FALSE,FALSE,FALSE
Germany,14.975336532677408,167,14,58,14:58,FALSE,TRUE,FALSE,FALSE
Norway,15.487412664966175,22,15,29,15:29,FALSE,FALSE,FALSE,FALSE
Belgium,15.76546723324627,19,15,45,15:45,FALSE,FALSE,FALSE,FALSE
Ireland,15.955025319715052,45,15,57,15:57,FALSE,TRUE,FALSE,FALSE
Canada,16.191939788299486,130,16,11,16:11,FALSE,TRUE,FALSE,FALSE
Finland,16.44150862987428,16,16,26,16:26,FALSE,FALSE,FALSE,FALSE
Kuwait,17.4,1,17,23,17:23,FALSE,FALSE,FALSE,FALSE
UK,17.494985451105048,595,17,29,17:29,FALSE,TRUE,FALSE,FALSE
USA,17.894095372525623,600,17,53,17:53,FALSE,TRUE,FALSE,FALSE
Sweden,18.219354838709673,20,18,13,18:13,FALSE,FALSE,FALSE,FALSE
Malta,18.744525547445257,1,18,44,18:44,FALSE,FALSE,FALSE,FALSE
Israel,18.83975215648159,14,18,50,18:50,FALSE,FALSE,FALSE,FALSE
Spain,18.947642615264385,30,18,56,18:56,FALSE,FALSE,FALSE,FALSE
Austria,19.03683885573163,13,19,2,19:02,FALSE,FALSE,FALSE,FALSE
Denmark,19.40368342458935,36,19,24,19:24,FALSE,FALSE,FALSE,FALSE
Croatia,20.885115606936413,9,20,53,20:53,FALSE,FALSE,FALSE,FALSE
France,21.24961800250035,31,21,14,21:14,FALSE,FALSE,FALSE,FALSE
Iceland,21.971830985915492,2,21,58,21:58,FALSE,FALSE,FALSE,FALSE
South Korea,23.81118881118881,4,23,48,23:48,FALSE,FALSE,FALSE,FALSE
Singapore,25.205045396380477,20,25,12,25:12,FALSE,FALSE,FALSE,FALSE
Slovakia,25.264632627646325,10,25,15,25:15,FALSE,FALSE,FALSE,FALSE
Estonia,27.418278852568378,2,27,25,27:25,FALSE,FALSE,FALSE,FALSE
Czechia,28.377763164550537,67,28,22,28:22,FALSE,TRUE,FALSE,FALSE
Poland,29.423647146034128,100,29,25,29:25,FALSE,TRUE,FALSE,FALSE
Japan,29.693877551020403,9,29,41,29:41,FALSE,FALSE,FALSE,FALSE
Portugal,29.95609950778236,13,29,57,29:57,FALSE,FALSE,FALSE,FALSE
